Cep;Latitude;Longitude;UF;Cidade
57600665;-9,4037197;-36,6314529;AL;PALMEIRA DOS ÍNDIOS
57600670;-9,4031649;-36,6316821;AL;PALMEIRA DOS ÍNDIOS
57600680;-9,4030868;-36,6320792;AL;PALMEIRA DOS ÍNDIOS
57600688;-9,406106;-36,6331433;AL;PALMEIRA DOS ÍNDIOS
57600690;-9,4022748;-36,6318903;AL;PALMEIRA DOS ÍNDIOS
57600703;-9,401045;-36,6332176;AL;PALMEIRA DOS ÍNDIOS
57600704;-9,4019691;-36,6328683;AL;PALMEIRA DOS ÍNDIOS
57600705;-9,402561;-36,6321822;AL;PALMEIRA DOS ÍNDIOS
57600710;-9,4007558;-36,6303312;AL;PALMEIRA DOS ÍNDIOS
57600715;-9,4016724;-36,6309487;AL;PALMEIRA DOS ÍNDIOS
57600716;-9,4012471;-36,6307766;AL;PALMEIRA DOS ÍNDIOS
57600720;-9,4011546;-36,6271483;AL;PALMEIRA DOS ÍNDIOS
57600725;-9,406106;-36,6331433;AL;PALMEIRA DOS ÍNDIOS
57600726;-9,4022705;-36,6262157;AL;PALMEIRA DOS ÍNDIOS
57600727;-9,4005883;-36,6262846;AL;PALMEIRA DOS ÍNDIOS
57600728;-9,4008504;-36,625991;AL;PALMEIRA DOS ÍNDIOS
57600800;-9,4008504;-36,625991;AL;PALMEIRA DOS ÍNDIOS
57600806;-9,4028534;-36,6265208;AL;PALMEIRA DOS ÍNDIOS
57600810;-9,4005883;-36,6262846;AL;PALMEIRA DOS ÍNDIOS
57600820;-9,3998284;-36,6260255;AL;PALMEIRA DOS ÍNDIOS
57600830;-9,4000753;-36,6250711;AL;PALMEIRA DOS ÍNDIOS
57600840;-9,3994628;-36,6249248;AL;PALMEIRA DOS ÍNDIOS
57600959;-9,408066;-36,6288781;AL;
57600970;-9,408066;-36,6288781;AL;PALMEIRA DOS ÍNDIOS
57601010;-9,4081431;-36,636549;AL;PALMEIRA DOS ÍNDIOS
57601020;-9,4096465;-36,6357228;AL;PALMEIRA DOS ÍNDIOS
57601030;-9,4088083;-36,6358024;AL;PALMEIRA DOS ÍNDIOS
57601040;-9,4091776;-36,6376068;AL;PALMEIRA DOS ÍNDIOS
57601050;-9,4124043;-36,6324905;AL;PALMEIRA DOS ÍNDIOS
57601060;-9,4107829;-36,6322433;AL;PALMEIRA DOS ÍNDIOS
57601070;-9,4099172;-36,6331055;AL;PALMEIRA DOS ÍNDIOS
57601080;-9,4091328;-36,6344312;AL;PALMEIRA DOS ÍNDIOS
57601085;-9,4092049;-36,6344271;AL;PALMEIRA DOS ÍNDIOS
57601090;-9,4136688;-36,6348167;AL;PALMEIRA DOS ÍNDIOS
57601100;-9,4183053;-36,6355077;AL;PALMEIRA DOS ÍNDIOS
57601120;-9,4123262;-36,6317047;AL;PALMEIRA DOS ÍNDIOS
57601123;-9,4200088;-36,6240803;AL;PALMEIRA DOS ÍNDIOS
57601130;-9,4124043;-36,6324905;AL;PALMEIRA DOS ÍNDIOS
57601140;-9,4120631;-36,6358278;AL;PALMEIRA DOS ÍNDIOS
57601150;-9,413421;-36,636701;AL;PALMEIRA DOS ÍNDIOS
57601160;-9,4161058;-36,6333563;AL;PALMEIRA DOS ÍNDIOS
57601170;-9,4135123;-36,6339058;AL;PALMEIRA DOS ÍNDIOS
57601175;-9,4127831;-36,6370695;AL;PALMEIRA DOS ÍNDIOS
57601180;-9,4146415;-36,6325506;AL;PALMEIRA DOS ÍNDIOS
57601185;-9,4152615;-36,6325752;AL;PALMEIRA DOS ÍNDIOS
57601190;-9,4154946;-36,6321925;AL;PALMEIRA DOS ÍNDIOS
57601200;-9,4138989;-36,6312023;AL;PALMEIRA DOS ÍNDIOS
57601210;-9,4156702;-36,6326883;AL;PALMEIRA DOS ÍNDIOS
57601220;-9,4108481;-36,6452971;AL;PALMEIRA DOS ÍNDIOS
57601230;-9,4146713;-36,6361588;AL;PALMEIRA DOS ÍNDIOS
57601240;-9,4140924;-36,6361522;AL;PALMEIRA DOS ÍNDIOS
57601250;-9,4140911;-36,6367468;AL;PALMEIRA DOS ÍNDIOS
57601260;-9,413908;-36,637517;AL;PALMEIRA DOS ÍNDIOS
57601270;-9,4028534;-36,6265208;AL;PALMEIRA DOS ÍNDIOS
57601275;-9,406106;-36,6331433;AL;PALMEIRA DOS ÍNDIOS
57601280;-9,4120101;-36,6370954;AL;PALMEIRA DOS ÍNDIOS
57601290;-9,4116128;-36,637635;AL;PALMEIRA DOS ÍNDIOS
57601300;-9,406106;-36,6331433;AL;PALMEIRA DOS ÍNDIOS
57601304;-9,4289988;-36,6223318;AL;
57601308;-9,4119931;-36,6358175;AL;
57601310;-9,4111978;-36,6389702;AL;PALMEIRA DOS ÍNDIOS
57601315;-9,4104056;-36,6374456;AL;PALMEIRA DOS ÍNDIOS
57601317;-9,4135123;-36,6339058;AL;
57601320;-9,4114524;-36,6436069;AL;PALMEIRA DOS ÍNDIOS
57601322;-9,4112214;-36,6440351;AL;PALMEIRA DOS ÍNDIOS
57601324;-9,4110568;-36,6445103;AL;PALMEIRA DOS ÍNDIOS
57601326;-9,406106;-36,6331433;AL;PALMEIRA DOS ÍNDIOS
57601328;-9,4105298;-36,6441832;AL;PALMEIRA DOS ÍNDIOS
57601330;-9,4107853;-36,6431309;AL;PALMEIRA DOS ÍNDIOS
57601332;-9,4110635;-36,6435591;AL;PALMEIRA DOS ÍNDIOS
57601334;-9,406106;-36,6331433;AL;PALMEIRA DOS ÍNDIOS
57601340;-9,4114706;-36,6383589;AL;PALMEIRA DOS ÍNDIOS
57601350;-9,4104056;-36,6374456;AL;PALMEIRA DOS ÍNDIOS
57601360;-9,4099601;-36,6368865;AL;PALMEIRA DOS ÍNDIOS
57601370;-9,4113775;-36,6337609;AL;PALMEIRA DOS ÍNDIOS
57601380;-9,4192854;-36,6344648;AL;PALMEIRA DOS ÍNDIOS
57601390;-9,4189514;-36,6346885;AL;PALMEIRA DOS ÍNDIOS
57601400;-9,406106;-36,6331433;AL;PALMEIRA DOS ÍNDIOS
57601410;-9,4187224;-36,6344488;AL;PALMEIRA DOS ÍNDIOS
57601420;-9,4180755;-36,6345266;AL;PALMEIRA DOS ÍNDIOS
57601422;-9,4175235;-36,63308;AL;PALMEIRA DOS ÍNDIOS
57601425;-9,4163175;-36,635805;AL;PALMEIRA DOS ÍNDIOS
57601430;-9,4175037;-36,6342276;AL;PALMEIRA DOS ÍNDIOS
57601440;-9,4173852;-36,6360093;AL;PALMEIRA DOS ÍNDIOS
57602000;-9,4102165;-36,6245606;AL;PALMEIRA DOS ÍNDIOS
57602010;-9,4099005;-36,6209387;AL;PALMEIRA DOS ÍNDIOS
57602020;-9,4100053;-36,6220709;AL;PALMEIRA DOS ÍNDIOS
57602030;-9,4090958;-36,624655;AL;PALMEIRA DOS ÍNDIOS
57602040;-9,4109554;-36,6226663;AL;PALMEIRA DOS ÍNDIOS
57602050;-9,4111004;-36,6247755;AL;PALMEIRA DOS ÍNDIOS
57602055;-9,4073556;-36,6268977;AL;PALMEIRA DOS ÍNDIOS
57602060;-9,4078003;-36,6262897;AL;PALMEIRA DOS ÍNDIOS
57602070;-9,4082693;-36,6257134;AL;PALMEIRA DOS ÍNDIOS
57602080;-9,411153;-36,6269799;AL;PALMEIRA DOS ÍNDIOS
57602090;-9,4088959;-36,6244699;AL;PALMEIRA DOS ÍNDIOS
57602100;-9,4098691;-36,6242939;AL;PALMEIRA DOS ÍNDIOS
57602110;-9,4102439;-36,623636;AL;PALMEIRA DOS ÍNDIOS
57602120;-9,4105026;-36,6228871;AL;PALMEIRA DOS ÍNDIOS
57602130;-9,4108746;-36,6262882;AL;PALMEIRA DOS ÍNDIOS
57602135;-9,4110905;-36,6260199;AL;PALMEIRA DOS ÍNDIOS
57602140;-9,4121804;-36,6233673;AL;PALMEIRA DOS ÍNDIOS
57602145;-9,4121804;-36,6233673;AL;PALMEIRA DOS ÍNDIOS
57602150;-9,4115179;-36,621174;AL;PALMEIRA DOS ÍNDIOS
57602160;-9,4114781;-36,6219491;AL;PALMEIRA DOS ÍNDIOS
57602170;-9,4117182;-36,6282214;AL;PALMEIRA DOS ÍNDIOS
57602175;-9,4106132;-36,6288911;AL;PALMEIRA DOS ÍNDIOS
57602180;-9,4120394;-36,6289703;AL;PALMEIRA DOS ÍNDIOS
57602185;-9,4104374;-36,629209;AL;PALMEIRA DOS ÍNDIOS
57602190;-9,412749;-36,6264588;AL;PALMEIRA DOS ÍNDIOS
57602195;-9,4110905;-36,6260199;AL;PALMEIRA DOS ÍNDIOS
57602200;-9,4125516;-36,6291963;AL;PALMEIRA DOS ÍNDIOS
57602210;-9,4133668;-36,6267383;AL;PALMEIRA DOS ÍNDIOS
57602220;-9,4137453;-36,6255251;AL;PALMEIRA DOS ÍNDIOS
57602230;-9,4151606;-36,6261655;AL;PALMEIRA DOS ÍNDIOS
57602240;-9,4112045;-36,6270083;AL;PALMEIRA DOS ÍNDIOS
57602250;-9,4114903;-36,6290549;AL;PALMEIRA DOS ÍNDIOS
57602255;-9,4111493;-36,6284947;AL;PALMEIRA DOS ÍNDIOS
