Cep;Latitude;Longitude;UF;Cidade
60011090;-3,735676;-38,5401619;CE;FORTALEZA
60011100;-3,7319842;-38,5417979;CE;FORTALEZA
60011110;-3,7321656;-38,5426263;CE;FORTALEZA
60011120;-3,7341828;-38,542193;CE;FORTALEZA
60011130;-3,7356484;-38,5424084;CE;FORTALEZA
60011140;-3,735676;-38,5401619;CE;FORTALEZA
60011160;-3,7343006;-38,5426792;CE;FORTALEZA
60011170;-3,7343913;-38,5431925;CE;FORTALEZA
60011173;-3,735676;-38,5401619;CE;FORTALEZA
60011176;-3,7274145;-38,5457981;CE;FORTALEZA
60011180;-3,735676;-38,5401619;CE;FORTALEZA
60011190;-3,735676;-38,5401619;CE;FORTALEZA
60011200;-3,735676;-38,5401619;CE;FORTALEZA
60011210;-3,735676;-38,5401619;CE;FORTALEZA
60011220;-3,735676;-38,5401619;CE;FORTALEZA
60011230;-3,735676;-38,5401619;CE;FORTALEZA
60011240;-3,735676;-38,5401619;CE;FORTALEZA
60011250;-3,7362095;-38,5428313;CE;FORTALEZA
60011260;-3,735676;-38,5401619;CE;FORTALEZA
60011270;-3,735676;-38,5401619;CE;FORTALEZA
60011280;-3,732048;-38,5426534;CE;FORTALEZA
60011290;-3,735676;-38,5401619;CE;FORTALEZA
60011300;-3,735676;-38,5401619;CE;FORTALEZA
60011310;-3,7300761;-38,5432127;CE;FORTALEZA
60011320;-3,735676;-38,5401619;CE;FORTALEZA
60011330;-3,735676;-38,5401619;CE;FORTALEZA
60011340;-3,735676;-38,5401619;CE;FORTALEZA
60015000;-3,733391;-38,5350908;CE;FORTALEZA
60015001;-3,7304872;-38,5341301;CE;FORTALEZA
60015002;-3,7333807;-38,535127;CE;FORTALEZA
60015005;-3,7333911;-38,5350908;CE;FORTALEZA
60015010;-3,7266078;-38,5388489;CE;FORTALEZA
60015020;-3,7266078;-38,5388489;CE;FORTALEZA
60015025;-3,7331997;-38,5361577;CE;FORTALEZA
60015030;-3,7266078;-38,5388489;CE;FORTALEZA
60015035;-3,7380205;-38,5388345;CE;FORTALEZA
60015038;-3,7376323;-38,5399654;CE;FORTALEZA
60015040;-3,7266078;-38,5388489;CE;FORTALEZA
60015050;-3,7293056;-38,5349448;CE;FORTALEZA
60015051;-3,7292829;-38,5350157;CE;FORTALEZA
60015052;-3,7331513;-38,5367432;CE;FORTALEZA
60015060;-3,7238245;-38,5345665;CE;FORTALEZA
60015061;-3,7346961;-38,53778;CE;FORTALEZA
60015070;-3,7253293;-38,5361563;CE;FORTALEZA
60015080;-3,7266078;-38,5388489;CE;FORTALEZA
60015090;-3,7266078;-38,5388489;CE;FORTALEZA
60015100;-3,7266078;-38,5388489;CE;FORTALEZA
60015103;-3,7348984;-38,5368414;CE;FORTALEZA
60015104;-3,7318259;-38,5418974;CE;FORTALEZA
60015105;-3,7266078;-38,5388489;CE;FORTALEZA
60015107;-3,7330109;-38,536356;CE;FORTALEZA
60015108;-3,7347858;-38,5367453;CE;FORTALEZA
60015110;-3,7266078;-38,5388489;CE;FORTALEZA
60015120;-3,7266078;-38,5388489;CE;FORTALEZA
