Cep;Latitude;Longitude;UF;Cidade
62501050;-3,4996897;-39,5875328;CE;ITAPIPOCA
62501055;-3,4996897;-39,5875328;CE;ITAPIPOCA
62501060;-3,4957557;-39,5940922;CE;ITAPIPOCA
62501065;-3,4994769;-39,587912;CE;ITAPIPOCA
62501070;-3,4996897;-39,5875328;CE;ITAPIPOCA
62501075;-3,4913037;-39,6000456;CE;ITAPIPOCA
62501080;-3,4964565;-39,5824963;CE;ITAPIPOCA
62501085;-3,4995425;-39,5881644;CE;ITAPIPOCA
62501090;-3,4995388;-39,5881474;CE;ITAPIPOCA
62501150;-3,4878482;-39,6059294;CE;ITAPIPOCA
62501155;-3,4876165;-39,606511;CE;ITAPIPOCA
62501160;-3,4876165;-39,606511;CE;ITAPIPOCA
62501165;-3,4873982;-39,6070791;CE;ITAPIPOCA
62501170;-3,4996069;-39,5885309;CE;ITAPIPOCA
62501175;-3,487151;-39,6076865;CE;ITAPIPOCA
62501180;-3,4871561;-39,608336;CE;ITAPIPOCA
62501185;-3,4860764;-39,6100302;CE;ITAPIPOCA
62501190;-3,4847856;-39,6123406;CE;ITAPIPOCA
62501195;-3,4976194;-39,6005897;CE;ITAPIPOCA
62501200;-3,4988152;-39,5982593;CE;ITAPIPOCA
62501205;-3,4919978;-39,6016145;CE;ITAPIPOCA
62501215;-3,4971614;-39,5876546;CE;ITAPIPOCA
62501217;-3,4919978;-39,6016145;CE;ITAPIPOCA
62501225;-3,4919978;-39,6016145;CE;ITAPIPOCA
62501230;-3,4971614;-39,5876546;CE;ITAPIPOCA
62501350;-3,4893653;-39,6119354;CE;ITAPIPOCA
62501355;-3,4850119;-39,5727683;CE;ITAPIPOCA
62501360;-3,4919978;-39,6016145;CE;ITAPIPOCA
62501365;-3,4949454;-39,5804701;CE;ITAPIPOCA
62501370;-3,4893653;-39,6119354;CE;ITAPIPOCA
62501375;-3,4976194;-39,6005897;CE;ITAPIPOCA
62501380;-3,4886536;-39,6108174;CE;ITAPIPOCA
62501385;-3,4976194;-39,6005897;CE;ITAPIPOCA
62501390;-3,4880185;-39,61684;CE;ITAPIPOCA
62501395;-3,4890213;-39,6146105;CE;ITAPIPOCA
62501400;-3,4878271;-39,6130887;CE;ITAPIPOCA
62501405;-3,4995498;-39,5881984;CE;ITAPIPOCA
62501410;-3,4996897;-39,5875328;CE;ITAPIPOCA
62501415;-3,4995425;-39,5881644;CE;ITAPIPOCA
62501420;-3,4996897;-39,5875328;CE;ITAPIPOCA
62501425;-3,4995498;-39,5881984;CE;ITAPIPOCA
62501430;-3,4996897;-39,5875328;CE;ITAPIPOCA
62501435;-3,4996897;-39,5875328;CE;ITAPIPOCA
62501440;-3,4996897;-39,5875328;CE;ITAPIPOCA
62501445;-3,4996897;-39,5875328;CE;ITAPIPOCA
62501450;-3,4996897;-39,5875328;CE;ITAPIPOCA
62501455;-3,4996897;-39,5875328;CE;ITAPIPOCA
62501460;-3,4996897;-39,5875328;CE;ITAPIPOCA
62501465;-3,4996897;-39,5875328;CE;ITAPIPOCA
62501470;-3,4995462;-39,5881814;CE;ITAPIPOCA
