Cep;Latitude;Longitude;UF;Cidade
44001568;-12,2516217;-38,9531811;BA;FEIRA DE SANTANA
44001575;-12,2579275;-38,9623693;BA;FEIRA DE SANTANA
44001584;-12,2576388;-38,9605452;BA;FEIRA DE SANTANA
44001588;-12,2587563;-38,9615818;BA;FEIRA DE SANTANA
44001592;-12,2596725;-38,9615878;BA;FEIRA DE SANTANA
44001600;-12,2585163;-38,9621;BA;FEIRA DE SANTANA
44001608;-12,2602347;-38,9636999;BA;FEIRA DE SANTANA
44001615;-12,2599989;-38,9597897;BA;FEIRA DE SANTANA
44001624;-12,2615926;-38,9603661;BA;FEIRA DE SANTANA
44001632;-12,2615963;-38,9603243;BA;FEIRA DE SANTANA
44001640;-12,2609152;-38,9609729;BA;FEIRA DE SANTANA
44001648;-12,2615307;-38,961726;BA;FEIRA DE SANTANA
44001649;-12,2613534;-38,9616414;BA;FEIRA DE SANTANA
44001650;-12,2615835;-38,9630299;BA;FEIRA DE SANTANA
44001655;-12,261403;-38,9630611;BA;FEIRA DE SANTANA
44001666;-12,2617045;-38,9600129;BA;FEIRA DE SANTANA
44001672;-12,2616576;-38,9679016;BA;FEIRA DE SANTANA
44001676;-12,2617333;-38,9693924;BA;FEIRA DE SANTANA
44001680;-12,2616047;-38,9662891;BA;FEIRA DE SANTANA
44001688;-12,2606599;-38,9671088;BA;FEIRA DE SANTANA
44001696;-12,2610262;-38,9682636;BA;FEIRA DE SANTANA
44001700;-12,2610262;-38,9682636;BA;FEIRA DE SANTANA
44001704;-12,2605632;-38,969744;BA;FEIRA DE SANTANA
44001708;-12,2609525;-38,9713517;BA;FEIRA DE SANTANA
44001720;-12,2595895;-38,9688765;BA;FEIRA DE SANTANA
44001728;-12,2613987;-38,9714701;BA;FEIRA DE SANTANA
44001731;-12,2622588;-38,9736868;BA;FEIRA DE SANTANA
44001733;-12,2597272;-38,9646608;BA;FEIRA DE SANTANA
44001736;-12,2605632;-38,969744;BA;FEIRA DE SANTANA
44001744;-12,2591696;-38,9686224;BA;FEIRA DE SANTANA
44001752;-12,2602765;-38,9690436;BA;FEIRA DE SANTANA
44001760;-12,2603887;-38,9683696;BA;FEIRA DE SANTANA
44001775;-12,2597119;-38,9667045;BA;FEIRA DE SANTANA
44001784;-12,2604919;-38,9672144;BA;FEIRA DE SANTANA
44001795;-12,2624559;-38,9656698;BA;FEIRA DE SANTANA
44001800;-12,2613222;-38,9656129;BA;FEIRA DE SANTANA
44001808;-12,2598706;-38,9643609;BA;FEIRA DE SANTANA
44001900;-12,2495397;-38,9616807;BA;
44001901;-12,2549965;-38,9645324;BA;
44001959;-12,2549979;-38,9645324;BA;
44001970;-12,2551212;-38,9647392;BA;
44001971;-12,2577098;-38,9595164;BA;
44001974;-12,2536772;-38,9592926;BA;
44002000;-12,2585639;-38,9642341;BA;FEIRA DE SANTANA
44002008;-12,2560588;-38,9637278;BA;FEIRA DE SANTANA
44002012;-12,2562785;-38,9637152;BA;FEIRA DE SANTANA
44002016;-12,2597272;-38,9646608;BA;FEIRA DE SANTANA
44002024;-12,26015;-38,9655573;BA;FEIRA DE SANTANA
44002032;-12,2564336;-38,9659851;BA;FEIRA DE SANTANA
44002034;-12,2597272;-38,9646608;BA;FEIRA DE SANTANA
44002035;-12,2608738;-38,9656289;BA;FEIRA DE SANTANA
44002048;-12,2572075;-38,9823359;BA;FEIRA DE SANTANA
44002052;-12,2577592;-38,9673727;BA;FEIRA DE SANTANA
44002056;-12,2597272;-38,9646608;BA;FEIRA DE SANTANA
44002064;-12,2572464;-38,9664975;BA;FEIRA DE SANTANA
44002068;-12,2597272;-38,9646608;BA;FEIRA DE SANTANA
44002072;-12,2597272;-38,9646608;BA;FEIRA DE SANTANA
44002080;-12,2566786;-38,9670915;BA;FEIRA DE SANTANA
